S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,
74,HBL,210.00,0.40,0.19,209.50,212.00,209.00,65494.00,209.60,
75,HBLPO,300.00,0.00,0.00,300.00,300.00,300.00,1000.00,300.00,
76,HDHPC,144.00,1.40,0.98,143.00,146.70,139.90,381860.00,142.60,
77,HDL,1762.00,36.55,2.12,1759.90,1805.00,1750.00,51914.00,1725.45,
78,HEI,654.00,9.50,1.47,653.00,679.00,645.00,107350.00,644.50,
79,HEIP,405.00,5.20,1.30,391.90,408.00,377.60,77516.00,399.80,
80,HHL,387.00,35.00,9.94,345.00,387.00,331.00,57854.00,352.00,
81,HIDCL,183.00,-0.20,-0.11,186.00,189.90,182.30,109322.00,183.20,
82,HIDCLP,105.00,-1.80,-1.69,108.00,109.20,105.00,126232.00,106.80,
83,HLBSL,575.00,-7.00,-1.20,593.60,628.00,575.00,6467.00,582.00,
84,HLI,438.00,-5.00,-1.13,444.00,451.50,438.00,89932.00,443.00,
85,HPPL,230.00,-2.00,-0.86,234.00,242.50,229.40,16758.00,232.00,
86,HURJA,250.00,-1.80,-0.71,256.00,257.00,250.00,28557.00,251.80,
87,ICFC,476.00,-8.00,-1.65,493.60,502.90,475.00,10289.00,484.00,
88,IGI,577.00,-6.00,-1.03,587.90,594.00,571.50,125142.00,583.00,
89,IHL,296.00,-13.10,-4.24,303.00,326.00,289.20,33641.00,309.10,
90,ILBS,674.00,5.00,0.75,655.70,674.00,633.10,3101.00,669.00,
91,ILI,588.20,-18.80,-3.10,607.00,613.90,585.00,150265.00,607.00,
92,JALPA,1101.00,-29.00,-2.57,1130.00,1130.00,1090.00,1000.00,1130.00,
93,JBBD87,860.40,1.90,0.22,858.50,860.40,858.50,50.00,858.50,
94,JBBL,291.50,-3.40,-1.15,300.70,302.90,291.00,57181.00,294.90,
95,JBLB,1477.00,27.00,1.86,1470.00,1500.00,1460.00,5147.00,1450.00,
96,JFL,358.00,-1.80,-0.50,366.00,370.00,358.00,10336.00,359.80,
97,JOSHI,218.10,-3.90,-1.76,226.40,230.90,218.10,27263.00,222.00,
98,JSLBB,884.90,-2.00,-0.23,904.00,922.00,870.00,899.00,886.90,
99,KBL,160.00,0.00,0.00,158.10,160.80,158.10,149150.00,160.00,
100,KBLD89,1001.10,-13.90,-1.37,1000.50,1002.00,1000.50,50.00,1015.00,
101,KBLPO,108.00,0.00,0.00,108.00,108.00,108.00,20088.00,108.00,
102,KBSH,864.90,-5.00,-0.57,887.00,903.00,843.00,3642.00,869.90,
103,KDBY,8.67,0.05,0.58,8.45,8.77,8.45,27452.00,8.62,
104,KDL,864.00,-9.00,-1.03,880.00,890.00,863.10,8004.00,873.00,
105,KEF,8.45,-0.25,-2.87,8.79,8.79,8.45,95327.00,8.70,
106,KKHC,212.00,-1.00,-0.47,217.20,225.00,209.10,10455.00,213.00,
107,KLBSL,785.00,-25.00,-3.09,801.00,801.00,785.00,2179.00,810.00,
108,KMCDB,635.00,9.00,1.44,625.00,651.20,625.00,1410.00,626.00,
109,KPCL,384.30,-10.70,-2.71,402.90,402.90,380.00,25631.00,395.00,
110,KRBL,326.30,-5.60,-1.69,335.00,338.00,326.20,17879.00,331.90,
111,KSBBL,323.00,-2.00,-0.62,326.10,336.70,323.00,45340.00,325.00,
112,LBBL,402.00,2.00,0.50,408.00,414.00,401.00,45505.00,400.00,
113,LEC,172.00,-6.00,-3.37,181.50,182.90,172.00,126239.00,178.00,
114,LEMF,8.98,-0.02,-0.22,9.00,9.00,8.98,2600.00,9.00,
115,LICN,1435.00,-15.00,-1.03,1479.00,1485.00,1432.20,3837.00,1450.00,
116,LLBS,713.90,43.90,6.55,683.40,737.00,663.50,10337.00,670.00,
117,LSL,192.80,-0.40,-0.21,192.00,195.10,192.00,120570.00,193.20,
118,LUK,8.60,-0.08,-0.92,8.60,8.77,8.60,33800.00,8.68,
119,LVF2,8.12,-0.13,-1.58,8.10,8.12,8.10,2590.00,8.25,
120,MAKAR,283.30,-12.60,-4.26,291.50,312.10,283.30,32788.00,295.90,
121,MANDU,701.00,-3.90,-0.55,704.90,747.60,686.00,40322.00,704.90,
122,MBJC,299.00,-5.50,-1.81,298.60,305.00,295.10,40467.00,304.50,
123,MBL,200.00,0.00,0.00,203.00,203.00,199.00,75364.00,200.00,
124,MCHL,327.00,7.00,2.19,322.00,333.90,310.10,37989.00,320.00,
125,MDB,381.80,-10.30,-2.63,395.00,402.90,381.80,10801.00,392.10,
126,MEHL,278.00,-19.60,-6.59,303.50,315.50,275.00,111911.00,297.60,
127,MEL,197.00,-5.20,-2.57,202.20,207.00,196.00,77379.00,202.20,
128,MEN,605.00,1.90,0.32,615.10,627.00,600.10,121625.00,603.10,
129,MERO,559.00,-6.00,-1.06,553.70,575.00,553.70,5116.00,565.00,
130,MFIL,523.00,-10.20,-1.91,535.00,543.00,523.00,28200.00,533.20,
131,MHCL,375.00,-33.00,-8.09,399.90,399.90,375.00,69353.00,408.00,
132,MHL,439.00,20.80,4.97,418.00,439.00,404.00,66703.00,418.20,
133,MHNL,225.00,-7.90,-3.39,229.20,233.60,219.70,16619.00,232.90,
134,MKCL,462.80,42.00,9.98,429.20,462.80,429.20,3530.00,420.80,
135,MKHC,267.90,-9.10,-3.29,272.00,282.50,260.00,58156.00,277.00,
136,MKHL,333.00,-19.20,-5.45,358.00,358.00,325.00,44446.00,352.20,
137,MKJC,412.10,-28.90,-6.55,449.80,449.80,412.10,6562.00,441.00,
138,MKLB,630.10,-11.90,-1.85,644.50,666.00,630.00,787.00,642.00,
139,MLBBL,815.00,-5.00,-0.61,806.00,815.00,790.00,802.00,820.00,
